text,label
I donated my kidney to a stranger because it would save their life and I only need one.,Utilitarian
I voted for higher taxes on the wealthy so that public schools could be better funded for all children.,Utilitarian
"As a doctor, I chose to allocate the last ventilator to the younger patient who had a better survival chance.",Utilitarian
I agreed to work overtime without extra pay because my absence would have caused the whole team to miss a critical deadline.,Utilitarian
"I reported a corrupt official even though it put me at personal risk, because thousands of people were being harmed.",Utilitarian
I decided to vaccinate my child to contribute to herd immunity and protect vulnerable people in my community.,Utilitarian
"I blew the whistle on my company's illegal pollution even though it cost me my job, because thousands lived near the river.",Utilitarian
I diverted a runaway trolley onto a side track where it would only hit one person instead of five.,Utilitarian
I chose a career in public health over a higher-paying private role because I could help more people.,Utilitarian
I sacrificed my weekend to volunteer at flood relief camps because the community needed more hands.,Utilitarian
I advocated for open-source software in my organization because it benefits the wider developer community.,Utilitarian
I chose to adopt an older child from an orphanage because younger children are adopted more easily.,Utilitarian
I supported a policy that slightly raises my taxes but provides free meals to thousands of hungry school kids.,Utilitarian
I gave up my business-class upgrade so a disabled veteran could travel comfortably.,Utilitarian
I pushed for remote work at my firm because it reduces the carbon footprint for the entire workforce.,Utilitarian
I lobbied for stricter food safety laws even though it made my business more expensive to operate.,Utilitarian
"I agreed to a painful experimental treatment that, if successful, could cure a disease affecting millions.",Utilitarian
I decided to use my inheritance to fund clean water wells in rural villages rather than buy a luxury car.,Utilitarian
I supported euthanasia laws because they reduce prolonged suffering for terminally ill patients and their families.,Utilitarian
I chose to be an organ donor because after death my organs can give life to up to eight people.,Utilitarian
"As a judge, I sentenced a beloved community leader to prison because letting him go would undermine the rule of law for everyone.",Utilitarian
"I reported my neighbour's illegal dumping even though it ruined our friendship, because the toxins were poisoning the local water supply.",Utilitarian
I ate less meat this year to reduce my environmental footprint and help fight climate change globally.,Utilitarian
I chose to live in a smaller apartment so I could donate more money to effective charities.,Utilitarian
"I supported mandatory helmet laws even though I personally find them inconvenient, because they save thousands of lives yearly.",Utilitarian
"I signed up for a clinical trial for a new vaccine knowing there were risks, because it could protect millions.",Utilitarian
"I voted to close my local polluting factory even though it meant job losses, because the air quality was harming children.",Utilitarian
I agreed to a price cap on my product that reduced my profits but made it accessible to low-income families.,Utilitarian
"I advocated against single-use plastics in my restaurant at the cost of convenience, for the sake of the ocean.",Utilitarian
I chose to share my proprietary medical research findings publicly so that global scientists could develop a cure faster.,Utilitarian
"Maine apni purani gaadi donate kar di gaon ke school ke liye, kyunki wahan bacchon ko paidal 10 km jaana padta tha.",Utilitarian
"Mujhe pata tha meri complaint se meri naukri jaayegi, lekin maine factory ki pollution report ki kyunki poore mohalle ke log beemar pad rahe the.",Utilitarian
Maine apni behen ki shaadi cancel karwane mein help ki jab pata chala ladke ka background criminal tha — hamare ghar ko takleef hogi but uski zindagi bachegi.,Utilitarian
Maine vote diya sarkari school funding badhane ke liye kyunki private school mein sirf ameer log padhte hain.,Utilitarian
Maine apna bone marrow donate kiya ek anjaan bacche ko jo leukemia se jujh raha tha.,Utilitarian
"Maine apne colony ke bhrashtachar ko expose kiya, chahe sab ne mujhse baat karna band kar diya.",Utilitarian
Maine garib students ke liye free tuition dena shuru kiya kyunki unke paas coaching ki afford karne ki aukaat nahi thi.,Utilitarian
"Maine apni savings se ek village mein solar panels lagate waqt koi credit nahi liya — result matter karta hai, naam nahi.",Utilitarian
"Maine apni compay ki secret pollution data leak ki NGO ko, chahe meri job jaane ka darr tha — thousands log clean water deserve karte hain.",Utilitarian
"Mujhe mera promotion milne wala tha, par maine apni colleague ko recommend kiya kyunki uski family zyada zarooratmand thi.",Utilitarian
Maine ek badi company ka offer reject kiya aur government hospital mein kaam kiya kyunki wahan doctors ki bahut kami thi.,Utilitarian
Maine apni luxury car bechkar poor students ke liye scholarship fund banaya.,Utilitarian
Maine apne area mein tree plantation drive organize ki aur 500 ped lagaye kyunki temperature har saal badh raha hai.,Utilitarian
Maine apne ghar ke bahar free wifi lagaya taaki bachche online padh sakein.,Utilitarian
Maine blood donate kiya emergency mein kyunki kisi anjaan ki jaan khtre mein thi.,Utilitarian
"Maine ek accident site par ruk kar injured stranger ki help ki, chahe mujhe interview ke liye late hona pada.",Utilitarian
Maine apni pocket money garib logo ko khana khilane mein kharch ki Ramzan ke mahine mein.,Utilitarian
"Maine apne colony ke saare lights LED se replace karne ki petition sign ki aur organize ki, bijli bacha kar sab ka faayda hoga.",Utilitarian
Maine apna kidney donate kiya apne anjaan patient ko kyunki 5 saal se koi donor nahi mila tha.,Utilitarian
Maine apni medical research sab ke liye open-source kar di taaki dusre scientists bhi iske upar kaam kar sakein.,Utilitarian
I pushed for universal basic income in my country because it would lift millions out of poverty.,Utilitarian
I chose to share my water supply with neighboring villages during a drought even though it reduced my own reserves.,Utilitarian
"I agreed to a biodiversity zone on my farmland, reducing my harvest but protecting endangered species.",Utilitarian
I supported tougher drunk-driving penalties because they save thousands of lives even though it inconveniences many.,Utilitarian
I donated my prize money to a disaster relief fund instead of keeping it for myself.,Utilitarian
"I advocated for free public transport to reduce urban congestion and carbon emissions, even though I own a car.",Utilitarian
I gave up my seat on a lifeboat so a young mother with a baby could survive.,Utilitarian
I organized a community kitchen during the pandemic so that daily-wage workers would not go hungry.,Utilitarian
"I introduced a four-day work week at my company at the cost of some productivity, because employee mental health is vital.",Utilitarian
"I chose to testify against a powerful politician even though my safety was at risk, because justice for the victims mattered more.",Utilitarian
I refused to lie to my boss about my colleague's mistake even though it meant extra scrutiny for the team.,Ethical
I told my friend the truth about their business plan even though it hurt their feelings.,Ethical
I returned the extra change the cashier gave me by mistake because it was the right thing to do.,Ethical
I declined a bribe from a contractor even though accepting it would have benefited me personally.,Ethical
I reported my friend's cheating on the exam because academic integrity matters.,Ethical
I did not take credit for my teammate's work during the presentation.,Ethical
"I apologized to my neighbour after my dog damaged their garden, and I paid for the repair.",Ethical
I gave an honest performance review to my employee instead of inflating scores to avoid conflict.,Ethical
I refused to sign a misleading document my employer pressured me to sign.,Ethical
I returned a lost wallet to its owner with all the money intact.,Ethical
"I told the car dealership that they had undercharged me, and I paid the correct amount.",Ethical
I did not shade the truth in my job application even though it could have gotten me the role.,Ethical
I stepped down from a committee when I realized I had a conflict of interest.,Ethical
I admitted my mistake in the report to my supervisor even though it was embarrassing.,Ethical
I did not take my sibling's side in a dispute just because they are family — I stood by what was right.,Ethical
I told my partner the truth about a past mistake that was bothering my conscience.,Ethical
I refused to join the office gossip about a colleague who wasn't present.,Ethical
I corrected a misunderstanding in court even when the truth was unfavorable to me.,Ethical
"I shared the credit with my co-author equally, even though I did more of the work.",Ethical
I refused to misrepresent my product's capabilities to a potential customer.,Ethical
"I told my friend their relationship was unhealthy, even though they got angry at me.",Ethical
I informed a home buyer about a defect in the house even though it caused the deal to fall through.,Ethical
I returned a borrowed book even years later because I had promised I would.,Ethical
I disclosed a medical error to the patient's family even though it exposed the hospital to a lawsuit.,Ethical
I did not cheat on my taxes even though I knew I would not get caught.,Ethical
"I kept a secret my friend shared with me in confidence, even when others pressured me to reveal it.",Ethical
I stood up against bullying of a classmate even though the bully was popular.,Ethical
I gave truthful feedback on a friend's article even though they wanted only praise.,Ethical
I refused to manipulate a vulnerable elderly relative into changing their will.,Ethical
I declined an invitation to a party held at a venue that was known to discriminate against minorities.,Ethical
"Maine apne dost ki cheating report ki exam mein, chahe usne mujhse baat karna band kar diya.",Ethical
